fewsparameter;2130-EAG-1;2150-EAG-3;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MALTON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MBTAZRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCPA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MCPP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metbzn;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METCB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METDTN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
metpll;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
METXRN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MEVP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MLAXL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MONSDTE;30;30;30;26.66666667;30;1150.76081;;21.66666667;;30;30;1634.962121;;30;26.66666667;20;;30;30;20;30;30;22.77777778;28.33333333;25;15;30;;;12.5;18.33333333;30;30;23.33333333;30;30;1628.495277;29.44444444;;20;27.5;30;26.66666667;30;;29;20;27.5;30;30;30;;30;30;30;26.25;15;22.5;30;30;30;25;29.16666667;30;30;;30;;;;22.5;30;30;30;;30;27.5;30;30;30;30;30;18.33333333;30;28.66666667;30;30;;21.66666667;10;30;21.66666667;30;1470.45227;30;30;30;30;28.33333333;20;30;17.77777778;30;30;1051.880342;29.58333333;;30;30;30;;26.66666667;30;25.55555556;24.16666667;18.33333333;30;30;30;30;30;30;30;30;24.16666667;27.77777778;30;28.33333333;;;;30;30;30;30;30;10;10;30;10;30;950.9259259;30;30;30;23.33333333;30;20.3015873;;20;30;30;;30;30;;;;;28.33333333;30;30;27.22222222;30;30;30;26.66666667;28.33333333;30;25;20;30;;;;;30;;30;30;30;22.77777778;30;30;30;30;19.16666667;30;30;30;25;30;1259.65812;30;30;30;30;20;22.33333333;30;30;30;;28.33333333;;22.5;30;30;30;;30;;30;27.5;22.5;30;23.88888889;26.66666667;27.5;20;30;30;22.5;30;30;30;30;30;;30;30;25;30;30;30;30;1643.459596;29.72222222;30;30;30;30;30;30;30
MTLCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.01625;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTMT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MTZCL;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYAZP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYBRP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYPMF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYPRTON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
MYTCP;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
N;3.133333333;7.058333333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NAF;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0075;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NH3;0.006;0.009166667;0.0175;0.0085;0.004666667;0.002467196;;;;0.003805556;0.010722222;0.002981481;;0.007166667;0.015148148;0.0115;;0.006611111;0.003416667;0.008277778;0.001916667;0.001416667;0.006055556;0.001611111;0.004888889;0.021;0.003083333;;;0.00075;0.01075;0.003666667;0.024449471;0.005333333;0.007388889;0.005055556;0.002484127;0.005847495;;0.002444444;0.002916667;0.030888889;0.0035;0.0029;;0.001683333;0.000166667;0.0025;0.006833333;0.002666667;0.0165;;0.010888889;0.004666667;0.033555556;0.053791667;0.012;0.020666667;0.005375;0.015625;0.001854167;0.007541667;0.002674242;0.005066667;0.003388889;;0.038166667;;;;0.045083333;0.00825;0.006583333;0.003111111;;0.004347222;0.010369048;0.001;0.003316667;0.001944444;0.004888889;0.000638889;0.001055556;0.002888889;0.001527778;0.001333333;0.008444444;;0.00225;0.00275;0.000875;0.004166667;0.001944444;0.000920635;8.33E-05;0.000888889;0.000444444;0.001944444;0.006055556;0.0035;0.001;0.006666667;0.016166667;0.001203704;0.001477778;0.004712963;;0.000611111;0.007018519;0.002166667;;0.001666667;0.002962963;0.000398148;0.000861111;0.000277778;0.002555556;0.001277778;0.002055556;0.000277778;5.00E-04;0.004611111;0.000527778;0.001333333;0.000194444;0.002168845;0.03675;0.008388889;;;;0.002625;0.009083333;0.009541667;0.006166667;0.004;0.011;0.003166667;0.002111111;0.011;0.000722222;0.001666667;0.000111111;0.002138889;0.00325;0.000777778;0.002079545;0.000746032;;0.001583333;0.001944444;0.00125;;0.008083333;0.002722222;;;;;0.001166667;0.000333333;0.002055556;0.002222222;0.005611111;0.001555556;0.001555556;0.002222222;0.011027778;0.033;0.004388889;0;0.002055556;;;;;0.002666667;;0.001555556;0.002388889;0.008888889;0.002638889;0.002888889;0.001444444;0.001148148;0.000833333;0.001138889;;0.007166667;0.0075;0.0065;0.006833333;0.002638889;0.011416667;0.032416667;0.007194444;0.012722222;0.008166667;0.004131313;0.001888889;0.001833333;0.003;;0.004166667;;0.011833333;0.001833333;0.0035;0.001694444;;0.002611111;;0.002166667;0.002666667;0.005166667;0.004666667;0.003018519;0.001388889;0.000694444;0.014583333;0.00175;0.005666667;0.000722222;0.002666667;0.0015;0;;0.004166667;;0.02802963;0.001;0.015833333;0.009277778;;0;0.0035;0.00227907;0.008023333;0.003361111;0.0065;0.001444444;0.003166667;0.002166667;0.003;0.003333333
NH4;0.115059524;0.274553571;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NI;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;2;;;1.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;;;;;;;;;;0.25;;;;3;;1.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.7;;;;;;;;;;2.1;1.4;;;;;;;;;;
NI-1;4;5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;;;;;;;;;;;;;;1.3;;;;;;;4;;;;;;;1.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.6;;;;;;;;;;1.7;1.3;;;;;;;;;;
NO2;0.049583333;0.1575;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO3;0.669583333;3.741666667;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
NO3NO2;0.717083333;3.891666667;0.509444444;0.049722222;0.02875;0.372138889;;;;0.077361111;0.307361111;0.335972222;;0.088125;0.143657407;0.059375;;0.424722222;0.815486111;0.070555556;0.027708333;0.155833333;0.095;0.236666667;0.623333333;0.13;0.033541667;;;0.0125;0.093020833;0.097708333;0.739895382;0.173444444;1.07;0.369722222;0.296964286;0.20379085;;0.091666667;0.051041667;0.117361111;0.030972222;0.023;;0.060166667;0.01625;0.027840909;0.180277778;0.072361111;0.819722222;;0.123611111;0.050416667;0.112777778;0.052708333;0.197916667;0.466875;0.062916667;0.230416667;0.052465278;0.1034375;0.052007576;0.110833333;0.066666667;;0.179583333;;;;0.141755952;0.064375;0.022083333;0.065416667;;1.348038194;0.153660714;0.027291667;0.106375;0.304722222;0.17375;0.022013889;0.0125;0.015694444;0.031680556;0.018888889;0.015138889;;0.019027778;0.037291667;0.018020833;0.590416667;0.091388889;0.250853175;0.03625;0.027152778;0.0125;0.190972222;0.3075;0.395;0.08;0.066111111;0.033055556;0.048009259;0.132805556;0.111724537;;0.028333333;0.646516204;0.033611111;;0.021388889;0.453888889;0.020115741;0.024791667;0.311388889;0.021805556;0.039722222;0.023888889;0.0125;0.0125;0.034444444;0.013819444;0.459583333;0.0325;0.024065904;0.490833333;0.0125;;;;0.038645833;0.048541667;0.09625;0.046875;0.092291667;0.1825;0.03875;0.174583333;0.26;0.081458333;0.334833333;0.020694444;0.013819444;0.0125;0.015138889;0.047244318;0.036845238;;0.52875;0.141666667;0.263333333;;0.055208333;0.718055556;;;;;0.191527778;0.038055556;0.260972222;0.116759259;0.0125;0.596111111;0.023888889;0.096527778;0.518611111;2.3;0.301666667;0.0125;0.0275;;;;;0.3125;;0.06;0.071805556;0.056527778;0.163888889;0.023888889;0.099444444;0.049583333;0.147083333;2.922916667;0.765;0.0125;0.095833333;0.155208333;0.047083333;0.145017361;0.299375;0.232291667;0.221388889;0.096944444;0.020416667;0.255896465;0.127638889;0.083541667;0.055416667;;0.521666667;;0.058333333;0.022083333;0.02375;0.072916667;;0.075416667;;0.320833333;0.132708333;0.082083333;0.446805556;0.022013889;0.0125;0.032986111;0.055208333;0.032916667;0.282083333;0.195555556;0.767083333;0.168472222;0.0125;0.0125;0.024305556;;0.045175926;0.0125;0.037361111;1.400555556;0.023333333;0.0125;0.057777778;0.693520672;0.273422222;0.065833333;0.036527778;0.0825;0.057916667;0.03375;0.0125;0.04875
O2;11.19166667;11.00357143;7.055555556;5.947222222;10.45833333;8.444391534;;;;7.066666667;6.055555556;10.59814815;;5.625;10.57407407;8.191666667;;6.822222222;7.1425;5.216666667;4.4;5.616666667;7.677777778;7.9;5.161111111;14.9;6.541666667;;;5.483333333;6.475;6.275;6.664975845;7.191666667;8.316666667;9.261111111;10.77698413;7.561982571;;5.777777778;7.858333333;2.906666667;6.111111111;6.261666667;;6.686666667;6.508333333;9.3125;8.122222222;6.766666667;6.098412698;;6.65;3.216666667;3.327777778;4.983333333;4.783333333;3.358333333;7.405555556;5.638888889;6.231944444;5.35;7.571969697;5.615555556;7.438888889;;6.141666667;;;;6.348809524;6.117857143;6.208333333;7.294444444;;8.4118339;5.786904762;4.658333333;6.48125;7.372222222;6.688888889;8.033333333;4.727777778;9.1;8.931666667;8.093333333;8.637777778;;3.838888889;7.766666667;6.445833333;7.127777778;6.948148148;9.679365079;8.316666667;8.424722222;7.616111111;9.033333333;6.088888889;11.35;10.9;4.722222222;4.094444444;7.448148148;9.083333333;8.438425926;8.4;7.355555556;9.858796296;8.061111111;;6.205555556;8.52962963;6.989814815;7.641666667;7.816666667;9.45;8.744444444;8.055555556;7.427777778;8.133333333;9.033333333;7.875;12.525;6.277777778;6.179520697;8.766666667;3.288888889;;;;7.3625;7.913888889;6.170833333;8.891666667;6.105555556;5.316666667;5.666666667;8.466666667;4.6;8.075;9.279222222;7.427777778;8.911111111;8.916666667;6.794444444;8.535984848;7.282222222;;8.441666667;9.233333333;9.291666667;;9.908333333;7.427777778;;;;;6.925;7.361111111;5.852777778;7.555555556;9.714285714;8.019047619;7.516666667;5.416666667;5.194444444;7.4;3.755555556;7.5;5.85;;;;;7.044444444;;7.766666667;8.625;9.211111111;6.795634921;9.061111111;6.355555556;7.381481481;7.891269841;7.575;7.5;3.383333333;5.133333333;4.108333333;1.8;9.982152778;8.566666667;6.033333333;5.358055556;6.305;2.9;7.445757576;8.633333333;5.966666667;5.15;;5.883333333;;2.633333333;3.316666667;3.366666667;6.791666667;;7.722222222;;5.533333333;4.416666667;4.085416667;7.944444444;5.901851852;9.161111111;7.297222222;2.841666667;8.025;8.416666667;8.075;4.258333333;5.844444444;10.9;;7.167222222;;3.715714286;4.8;7.238888889;6.272222222;4.95;7.05;7.783333333;9.296511628;7.23842963;8.4;9.266666667;7.411111111;4.066666667;4.683333333;5.566666667;5.65
OXAML;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.0125;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
P;0.27;0.920833333;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PALN;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PB;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;;;;;;;;;;;;;;;;;0.7;;;;2.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.2;;;;;;;;;;;;;;;;;;;;;
PB-1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;;;;;;;;;;;;;;;;;;;;;
PCC;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.005;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCLAZ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PCMD;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
